product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,OctoPrincess,VIB,Rookie,"['Age 25-34', 'Eye Color Green', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Oily']",5 stars,2 d ago,no,Color: Mood Exposure,https://www.sephora.com/productimages/sku/s1581321+sw.jpg,Haven't Worn Blush In Years,"I don't wear foundation/concealer/primer but I always wear eyeshadow, highlight, lipstick/gloss, etc. My skin is very pink and I flush really easily so I've never been a fan of 'pink' shades of blush. Blush also tends to disappear within a few hours on me, since I don't use a primer. I'd heard so many people rave about this product and I'm a fan of Hourglass but had only purchased one other product from them prior to this. This blush is amazing. I'm very fair and was afraid it would be too dark but it's stunning. Glowy but natural and also bold. Stays on my skin all day. 10/10 would recommend to anyone who's considering purchasing.
…read more",0,0,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,fmraza,Insider,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Olive', 'Skin Type Dry']",5 stars,3 d ago,no,Color: Luminous Flush,https://www.sephora.com/productimages/sku/s1581313+sw.jpg,stays on all day!,Great longwear blush! I normally mix it with mood exposure because I got them in a palette together,0,0,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,MyLastDuchess,Rouge,Rookie,"['Age 45-54', 'Eye Color Green', 'Hair color Brunette', 'Skin Tone Porcelain', 'Skin Type Normal']",5 stars,6 d ago,yes,Color: Ethereal Glow,https://www.sephora.com/productimages/sku/s1581305+sw.jpg,Gorgeous color selection.,"The Hourglass blushes are amazing on my super pale skin. I have about the second palest shade there is. Some brands don't make foundation for my skin color. That said, in any given blush line I can wear 1 maybe 2 of the colors the rest are too dark or too orange. In this line I can wear all but 2 of them. I'm amazed. This color in particular was breathtakingly pretty on and is my new favorite blush. It's also impossible to go too dark with so it makes getting made up in a hurry that much easier. If you have pale, cool toned skin you so need to try this color and if you don't I say try it anyway you may be as surprised by this line as I was.
…read more",0,5,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,CatSofka,Insider,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Combination']",1 star,20 d ago,no,Color: Mood Exposure,https://www.sephora.com/productimages/sku/s1581321+sw.jpg,This is roulette,"I have dull dark skin and a shade of mood exposure suited me perfectly. The blush has a beautiful creamy lilac color. They are perfectly refreshing and do not emphasize the structure, stable and not dusty. They are perfect for every day. Now about the minuses - blush consists of marble layers of color and highlighter and in each jar this ratio is different. I got a 3/4 can of highlighter and 1/4 blush. 1/4 blush ended very quickly with daily use. Now I have 3/4 highlighters stored idle. Bottom line: I put 4 stars for the product, 1 star for the design of the box and take 3 stars for cheating the buyer. I bought a blush, not a highlighter in a bank. And minus 1 star for a terrible customer service from the brand. If you are willing to overpay for a highlighter, then this is a good product. If you need exactly blush or bronzer, then it is better to find another brand. This is roulette.
…read more",16,3,
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,SpecialMeer,Rouge,Rookie,"['Age 18-24', 'Eye Color Brown', 'Hair color Black', 'Skin Tone Light', 'Skin Type Dry']",5 stars,21 d ago,yes,Color: Ethereal Glow,https://www.sephora.com/productimages/sku/s1581305+sw.jpg,In love!,"Ive been trying to find a subtle, light blush that isn't too pigmented and this blush does exactly what I wanted! the glow is super pretty and makes you have a fairy kind of glow!",1,0,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,chavarcm,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Tan', 'Skin Type Dry']",5 stars,24 d ago,yes,Color: Dim Infusion,https://www.sephora.com/productimages/sku/s1581297+sw.jpg,,"Beautiful colour, and very subtle so it's hard to overdo it, which for me is a good thing especially if I am going for a natural look. It also has a blurring effect on the skin that reduces the appearance of pores. A really good staple.",1,1,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,makeuplover5635,Rouge,Rookie,"['Age 35-44', 'Eye Color Blue', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,26 d ago,no,Color: Diffused Heat,https://www.sephora.com/productimages/sku/s1581289+sw.jpg,Best blushes!,I love all hourglass blushes! they blend so well and have the right amount of luminosity and colour without getting too much colour and looking like a clown face. The best go to if you need something that always looks good. Also it doesn't dry out skin and stays on all day.,0,0,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,mamax123,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Porcelain', 'Skin Type Dry']",5 stars,2 May 2020,yes,Color: Dim Infusion,https://www.sephora.com/productimages/sku/s1581297+sw.jpg,Most favorite blush of all time!,Amazing!!! This blush is perfection. It’s beautiful and just gives the skin the most perfect glow from within. This makes me want every shade of hourglass blush.,4,0,Recommends this product
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,NellyAF,VIB,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Medium', 'Skin Type Combination']",2 stars,30 Apr 2020,yes,Color: Dim Infusion,https://www.sephora.com/productimages/sku/s1581297+sw.jpg,"GLITTER, WITH A SIDE OF COLOR.","I don’t want milk with a side of coffee; I want coffee and a touch of milk. 1 Star for beautiful, sturdy yet lightweight packaging. But packaging doth not a good product make. This thing is so sheer that it really either takes $5 worth of product per application to see pigment, or you get nothing but glitter and convince yourself that something’s there when it’s not. I had such high hopes. I’m also light to medium skin tone (and lighter probably due to quarantine) so I know it’s not a color mismatch situation.
…read more",3,1,
blush,HOURGLASS,Hourglass Ambient Lighting Blush Collection,SJK112989,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Combination']",1 star,28 Apr 2020,no,Color: Brilliant Nude,https://www.sephora.com/productimages/sku/s1944586+sw.jpg,NO PIGMENT. JUST GLITTER. NOT BUILDABLE AT ALL.,"I just received this blush and was very excited to try it on. I saw an influencer use it in one of their videos and it looked so beautiful on her I had to purchase it. When I tried it on there was literally nothing on my face or at least it looked that way. For the price and the way it looked in the video I was expecting much more pigment. I tried to build it up by adding more and more blush on my cheeks but all it did was add glitter. This is the sheerest blush I’ve ever tried. I tried building it up even using different brushes but no pigment at all. I have blushes for more than half the price which show up better on my face. It basically just looks like shiny glitter on my face. I was expecting it to have a warm nude color with some glowy shine but it didn’t have this effect at all. For $40 I expected much better and I’m truly disappointed.
…read more",4,3,
