product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",tracilei03,Insider,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Normal']",3 stars,6 d ago,yes,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,Meh,"I’m a little disappointed. I had never used any of these before and I was really excited to get this palette. But in general I'm underwhelmed. I like Georgia and Cookie, and Sugarbomb is ok, but Hoola seems too orange on me and Dallas just seems to do nothing. The quality is good, but I'm just not excited to use it like I thought I would be.",0,5,
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",SteadyGlam,Rouge,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Tan', 'Skin Type Combination']",5 stars,16 d ago,yes,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,Bang for your buck!,These Cheek Star palettes are the cutest thing ever and really make me feel like a girl in high school in a good way. I look forward to the release of them every year. I absolutely love the original hoola and cookie highlighter. Really love dallas to shade areas of my face and the blush in here is just beautiful. Highly recommend.,0,0,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",vannahnickole,Insider,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Deep', 'Skin Type Combination']",5 stars,29 d ago,yes,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,,"I have never used any types of bronzer,blush, or highlight before,but this palette is amazing! It can be used very subtly or you can build it.",3,0,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",misyolanda,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Olive', 'Skin Type Combination']",5 stars,1 May 2020,yes,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,a winning palette,You need this! I’ve always loved Benefit. Dallas was my very first bronzer I ever bought and it lasted me years! I love this palette all the shades are amazing and spectacular. Cookie is amazing and is already my new favorite! If anyone says this palette sucks don’t listen to them! They all going on amazing too!,4,0,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",lcbyrd7,Rouge,Rookie,"['Age 25-34', 'Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Oily']",5 stars,21 Apr 2020,no,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,my lovies,my faves all in one! I like how they added the highligher in this one. I like options depending on the day. so this works great and perfect for travel too. Georgia is my favorite now.,2,0,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",Flowergirl129,VIB,Rookie,"['Eye Color Green', 'Hair color Red', 'Skin Tone Tan', 'Skin Type Oily']",4 stars,21 Apr 2020,no,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,Worth it,Love it!! I was so worried it wouldn’t look good on my skin and I was so wrong. The highlighter is also amazing!!!!!,5,2,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",Lee811,Rouge,Rookie,"['Eye Color Brown', 'Hair color Gray', 'Skin Tone Dark', 'Skin Type Combination']",3 stars,21 Apr 2020,no,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,Blush kick 2020,It's ok ! I'm willing to build this product up to show up on my skin tone.,4,2,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",Micast,VIB,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,18 Apr 2020,yes,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,,I really love everything about this palette! When I first got it in the mail I was underwhelmed but when I put it on I was in love!! This is my first benefit purchase! I am not disappointed.,10,0,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",comfi,Insider,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Oily']",4 stars,14 Apr 2020,no,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,,"So when I got this right off the bat the palette itself separated from the packaging. Nothing was broken or anything like that but it still left a bit of a bad first impression. Also another thing I noticed right away was that hoola and dallas looked like different shades altogether. Both are lighter and seem less pigmented than either my standalone or the one in my cheekleaders palette. As for Georgia and Sugarbomb, well Georgia looks so pretty on my fair complexion. It comes off more as a slight peach glow than most of my other blushes in the same shade range. Sugarbomb though, I could take or leave. I just sorta feel meh about it, While cookie is the same as it always was.
…read more",6,2,Recommends this product
blush,BENEFIT COSMETICS,"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",Lovelybri88,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Olive', 'Skin Type Combination']",5 stars,12 Apr 2020,no,"Color: Dallas, Sugarbomb, Cookie, Georgia, Hoola",https://www.sephora.com/productimages/sku/s2305480+sw-62.jpg,Best travel blush box,I absolutely loooove this. I’m a 290 in Fenty and this works amazing on me. My favorite has to be sugar bomb. Georgia peach does work on my skin but more as a blush topper which doesn’t bug me. Cookie is a little to pearly for me so I like to mix it with Georgia,5,1,Recommends this product
