product_name,product_link
NARS Blush,https://www.sephora.com/product/blush-P2855?icid2=products%20grid:p2855
FENTY BEAUTY by Rihanna Cheeks Out Freestyle Cream Blush,https://www.sephora.com/product/fenty-beauty-rihanna-cheeks-out-freestyle-cream-blush-P19700127?icid2=products%20grid:p19700127
MILK MAKEUP Lip + Cheek,https://www.sephora.com/product/lip-cheek-P404799?icid2=products%20grid:p404799
tarte Amazonian Clay 12-Hour Blush,https://www.sephora.com/product/amazonian-clay-12-hour-blush-P278610?icid2=products%20grid:p278610
Natasha Denona Diamond & Blush Palette,https://www.sephora.com/product/diamond-blush-face-highlighting-contour-palette-P428433?icid2=products%20grid:p428433
Charlotte Tilbury Cheek To Chic Blush,https://www.sephora.com/product/cheek-to-chic-P433527?icid2=products%20grid:p433527
Laura Mercier Blush Colour Infusion,https://www.sephora.com/product/blush-colour-infusion-P433131?icid2=products%20grid:p433131
NARS Liquid Blush,https://www.sephora.com/product/liquid-blush-P419506?icid2=products%20grid:p419506
NUDESTIX Nudies Matte Blush & Bronze,https://www.sephora.com/product/nudies-all-over-face-color-P419107?icid2=products%20grid:p419107
NARS The Multiple,https://www.sephora.com/product/the-multiple-P2866?icid2=products%20grid:p2866
NARS Blush/Bronzer Duo,https://www.sephora.com/product/blush-bronzer-duo-P104006?icid2=products%20grid:p104006
Hourglass Ambient Lighting Blush Collection,https://www.sephora.com/product/ambient-lighting-blush-collection-P384963?icid2=products%20grid:p384963
Charlotte Tilbury Cheek to Chic Blush - Pillow Talk Collection,https://www.sephora.com/product/charlotte-tilbury-cheek-to-chic-blush-pillow-talk-collection-P454506?icid2=products%20grid:p454506
ILIA Multi-Stick,https://www.sephora.com/product/multi-stick-P411848?icid2=products%20grid:p411848
Lunar Beauty Moon Prism Blush Palette,https://www.sephora.com/product/lunar-beauty-moon-prism-blush-palette-P457454?icid2=products%20grid:p457454
SEPHORA COLLECTION Holographic Face & Cheek Palette,https://www.sephora.com/product/holographic-face-cheek-palette-P428692?icid2=products%20grid:p428692
"SEPHORA COLLECTION Colorful Face Powders – Blush, Bronze, Highlight, & Contour",https://www.sephora.com/product/colorful-face-powders-blush-bronze-highlight-contour-P433005?icid2=products%20grid:p433005
Benefit Cosmetics Benetint Cheek & Lip Stain (6mL),https://www.sephora.com/product/benetint-cheek-lip-stain-6ml-P449567?icid2=products%20grid:p449567
Guerlain Meteorites 3-in-1 Highlighting and Illuminating Pressed Powder Palette,https://www.sephora.com/product/guerlain-meterorites-highlighter-palette-P458721?icid2=products%20grid:p458721
NARS Afterglow Overlust Cheek Palette,https://www.sephora.com/product/nars-overlust-cheek-palette-P453246?icid2=products%20grid:p453246
bareMinerals All-Over Face Color,https://www.sephora.com/product/bareminerals-all-over-face-color-P61005?icid2=products%20grid:p61005
"Benefit Cosmetics Cheeks Stars Reunion Tour: Blush, Bronzer & Highlighter Palette",https://www.sephora.com/product/benefit-cosmetics-cheeks-stars-reunion-tour-blush-bronzer-highlighter-palette-P454988?icid2=products%20grid:p454988
Dior BACKSTAGE Glow Face Palette,https://www.sephora.com/product/backstage-glow-face-palette-P432502?icid2=products%20grid:p432502
Tower 28 Beauty BeachPlease Tinted Lip + Cheek Balm,https://www.sephora.com/product/beachplease-tinted-balm-blush-P449342?icid2=products%20grid:p449342
Benefit Cosmetics Benetint Cheek & Lip Stain 10ml,https://www.sephora.com/product/benetint-cheek-lip-stain-P1272?icid2=products%20grid:p1272
FENTY BEAUTY by Rihanna Match Stix Shimmer Skinstick,https://www.sephora.com/product/match-stix-shimmer-skinstick-P73124556?icid2=products%20grid:p73124556
PATRICK TA Monochrome Moment - Velvet Blush,https://www.sephora.com/product/monochrome-moment-velvet-blush-P451940?icid2=products%20grid:p451940
bareMinerals Gen Nude Powder Blush,https://www.sephora.com/product/gen-nude-powder-blush-P427652?icid2=products%20grid:p427652
Jouer Cosmetics Blush Bouquet Dual Blush Palette,https://www.sephora.com/product/powder-blush-duo-P434021?icid2=products%20grid:p434021
ILIA Color Haze Multi-Use Pigment,https://www.sephora.com/product/color-haze-multi-use-pigment-P444438?icid2=products%20grid:p444438
Kaja Cheeky Stamp Blendable Blush,https://www.sephora.com/product/cheeky-stamp-blendable-blush-P436152?icid2=products%20grid:p436152
Dior BACKSTAGE Rosy Glow Blush,https://www.sephora.com/product/dior-rosy-glow-blush-P454762?icid2=products%20grid:p454762
tarte Mini Amazonian Clay 12-Hour Blush,https://www.sephora.com/product/travel-size-amazonian-clay-12-hour-blush-P450535?icid2=products%20grid:p450535
Kaja Air Heart Lipstick + Cheeky Stamp Blush Set,https://www.sephora.com/product/kaja-air-heart-lipstick-cheeky-stamp-blush-set-P458745?icid2=products%20grid:p458745
CLINIQUE Cheek Pop Blush,https://www.sephora.com/product/cheek-pop-P384996?icid2=products%20grid:p384996
TOM FORD Lip Blush,https://www.sephora.com/product/lip-blush-P443932?icid2=products%20grid:p443932
Kosas Color & Light: Crème Cream Blush & Highlighter Duo,https://www.sephora.com/product/color-light-creme-blush-highlighter-duo-P441886?icid2=products%20grid:p441886
Dior Rouge Blush,https://www.sephora.com/product/rouge-blush-P442793?icid2=products%20grid:p442793
Benefit Cosmetics Dandelion Box o’ Powder Blush,https://www.sephora.com/product/dandelion-box-o-powder-blush-P38347?icid2=products%20grid:p38347
Bobbi Brown Shimmer Brick Highlighter,https://www.sephora.com/product/shimmer-brick-bronze-P270545?icid2=products%20grid:p270545
Anastasia Beverly Hills Blush Trio,https://www.sephora.com/product/blush-trio-P420162?icid2=products%20grid:p420162
Wander Beauty On-The-Glow Blush and Illuminator,https://www.sephora.com/product/on-the-glow-blush-illuminator-P407106?icid2=products%20grid:p407106
"INC.redible Three Love Lip, Cheek and Eye Tint Stick",https://www.sephora.com/product/incredible-three-love-lip-cheek-eye-tint-stick-P458959?skuId=2353886&icid2=products%20grid:p458959
BECCA Cosmetics Mineral Blush,https://www.sephora.com/product/mineral-blush-P375982?icid2=products%20grid:p375982
Bobbi Brown Blush,https://www.sephora.com/product/blush-P270570?icid2=products%20grid:p270570
KVD Vegan Beauty Everlasting Blush,https://www.sephora.com/product/kvd-vegan-beauty-everlasting-blush-P454732?icid2=products%20grid:p454732
Benefit Cosmetics Gold Rush Blush,https://www.sephora.com/product/gold-rush-blush-P429998?icid2=products%20grid:p429998
bareMinerals Blush,https://www.sephora.com/product/bareminerals-blush-P61009?icid2=products%20grid:p61009
rms beauty Lip2Cheek,https://www.sephora.com/product/lip2cheek-P415647?icid2=products%20grid:p415647
NUDESTIX Nudies Bloom All Over Dewy Color,https://www.sephora.com/product/nudies-bloom-all-over-dewy-color-P444609?icid2=products%20grid:p444609
Benefit Cosmetics GALifornia Blush,https://www.sephora.com/product/galifornia-blush-P418014?icid2=products%20grid:p418014
MILK MAKEUP Glow Oil Lip + Cheek,https://www.sephora.com/product/glow-oil-lip-cheek-P445510?icid2=products%20grid:p445510
Benefit Cosmetics Mini Cheek Stars Reunion Tour Palette,https://www.sephora.com/product/benefit-cosmetics-cheek-stars-mini-reunion-tour-mini-brush-bronzer-palette-P456157?icid2=products%20grid:p456157
TOM FORD Cheek Color,https://www.sephora.com/product/cheek-color-P422553?icid2=products%20grid:p422553
SEPHORA COLLECTION Matte Perfection Blush Duos,https://www.sephora.com/product/matte-perfection-blush-duos-P439601?icid2=products%20grid:p439601
CLINIQUE Chubby Stick Cheek Colour Balm,https://www.sephora.com/product/chubby-stick-cheek-colour-balm-P387634?icid2=products%20grid:p387634
"MAKE UP FOR EVER Artist Face Color Highlight, Sculpt and Blush Powder",https://www.sephora.com/product/artist-face-color-highlight-sculpt-blush-powder-P421281?icid2=products%20grid:p421281
bareMinerals BOUNCE & BLUR Blush,https://www.sephora.com/product/bounce-blur-blush-P447767?icid2=products%20grid:p447767
Natasha Denona Mini Bloom Blush,https://www.sephora.com/product/natasha-denona-mini-bloom-blush-P457652?icid2=products%20grid:p457652
Perricone MD No Makeup Blush,https://www.sephora.com/product/no-blush-blush-spf-30-P386467?icid2=products%20grid:p386467
Benefit Cosmetics Dandelion Twinkle Highlighter,https://www.sephora.com/product/dandelion-twinkle-P417320?icid2=products%20grid:p417320
NARS Exposed Cheek Palette,https://www.sephora.com/product/exposed-cheek-palette-P441812?icid2=products%20grid:p441812
NUDESTIX Mini Nudies 3-Piece Kit,https://www.sephora.com/product/mini-nudies-3-piece-kit-P447737?icid2=products%20grid:p447737
Buxom Wanderlust Primer-Infused Blush,https://www.sephora.com/product/wanderlust-primer-infused-blush-P440021?icid2=products%20grid:p440021
Shiseido Minimalist Whipped Powder Blush,https://www.sephora.com/product/minimalist-whippedpowder-blush-P435419?icid2=products%20grid:p435419
Armani Beauty Neo Nude A-Line Liquid Blush,https://www.sephora.com/product/a-blush-professional-liquid-face-blush-P432608?icid2=products%20grid:p432608
Too Faced Sweethearts Perfect Flush Blush,https://www.sephora.com/product/sweethearts-perfect-flush-blush-P377629?icid2=products%20grid:p377629
Too Faced Sweet Peach Papa Don’t Peach Blush,https://www.sephora.com/product/papa-dont-peach-blush-P63984263?icid2=products%20grid:p63984263
Kaja Mochi Minis Bouncy Blendable Highlighter & Blush Duo,https://www.sephora.com/product/mochi-minis-bouncy-blendable-highlighter-blush-duo-P447158?icid2=products%20grid:p447158
Natasha Denona Bloom Blush & Glow Palette,https://www.sephora.com/product/bloom-palette-blush-glow-palette-P441872?icid2=products%20grid:p441872
