product_name,product_link
FENTY BEAUTY by Rihanna Mattemoiselle Plush Matte Lipstick,https://www.sephora.com/product/mattemoiselle-plush-matte-lipstick-P45874456?icid2=products%20grid:p45874456
KVD Vegan Beauty Everlasting Liquid Lipstick,https://www.sephora.com/product/everlasting-love-liquid-lipstick-P384954?icid2=products%20grid:p384954
SEPHORA COLLECTION Cream Lip Stain Liquid Lipstick,https://www.sephora.com/product/cream-lip-stain-liquid-lipstick-P281411?icid2=products%20grid:p281411
Marc Jacobs Beauty Le Marc Lip Crème Lipstick,https://www.sephora.com/product/le-marc-lip-creme-P392352?skuId=1651348&icid2=products%20grid:p392352
PAT McGRATH LABS MatteTrance™ Lipstick,https://www.sephora.com/product/mattetrance-lipstick-P421813?icid2=products%20grid:p421813
NARS Velvet Matte Lipstick Pencil,https://www.sephora.com/product/velvet-matte-lip-pencil-P78834?icid2=products%20grid:p78834
Charlotte Tilbury Matte Revolution Lipstick,https://www.sephora.com/product/matte-revolution-lipstick-P433530?icid2=products%20grid:p433530
Yves Saint Laurent Tatouage Couture Velvet Cream Liquid Lipstick,https://www.sephora.com/product/yves-saint-laurent-tatouage-couture-velvet-cream-liquid-lipstick-P457250?icid2=products%20grid:p457250
MILK MAKEUP Lip + Cheek,https://www.sephora.com/product/lip-cheek-P404799?icid2=products%20grid:p404799
Armani Beauty Lip Maestro Liquid Matte Lipstick,https://www.sephora.com/product/lip-maestro-liquid-lipstick-P393411?icid2=products%20grid:p393411
Christian Louboutin Velvet Matte Lip Colour,https://www.sephora.com/product/velvet-matte-lip-colour-P400560?skuId=1750140&icid2=products%20grid:p400560
FENTY BEAUTY by Rihanna Stunna Lip Paint Longwear Fluid Lip Color,https://www.sephora.com/product/stunna-lip-paint-P39787544?icid2=products%20grid:p39787544
Lancôme L'Absolu Lacquer,https://www.sephora.com/product/l-absolu-lacquer-P431511?icid2=products%20grid:p431511
HUDA BEAUTY Power Bullet Matte Lipstick,https://www.sephora.com/product/power-bullet-matte-lipstick-P441880?icid2=products%20grid:p441880
NARS Lipstick,https://www.sephora.com/product/lipstick-P448502?icid2=products%20grid:p448502
Charlotte Tilbury Matte Revolution Lipstick- Pillow Talk Collection,https://www.sephora.com/product/charlotte-tilbury-matte-revolution-lipstick-intense-pillow-talk-collection-P454508?icid2=products%20grid:p454508
KVD Vegan Beauty Studded Kiss Crème Lipstick,https://www.sephora.com/product/studded-kiss-creme-lipstick-P427646?icid2=products%20grid:p427646
NARS Powermatte Lip Pigment,https://www.sephora.com/product/powermatte-lip-pigment-P421485?icid2=products%20grid:p421485
Yves Saint Laurent Rouge Volupte Shine Lipstick Balm,https://www.sephora.com/product/rouge-volupte-shine-oil-in-stick-lipstick-P377710?icid2=products%20grid:p377710
SEPHORA COLLECTION #LIPSTORIES Lipstick,https://www.sephora.com/product/lipstories-lipstick-P424915?icid2=products%20grid:p424915
NARS The Multiple,https://www.sephora.com/product/the-multiple-P2866?icid2=products%20grid:p2866
PAT McGRATH LABS Mini MatteTrance™ Lipstick Trio,https://www.sephora.com/product/lust-mini-mattetrance-lipstick-skin-show-trio-P434529?icid2=products%20grid:p434529
PAT McGRATH LABS LuxeTrance™ Lipstick,https://www.sephora.com/product/luxetrance-trade-lipstick-P423642?icid2=products%20grid:p423642
Gucci Rouge à Lèvres Mat Matte Lipstick,https://www.sephora.com/product/gucci-gucci-rouge-a-levres-mat-matte-lipstick-P453273?icid2=products%20grid:p453273
HUDA BEAUTY Liquid Matte Lipstick,https://www.sephora.com/product/huda-beauty-liquid-matte-lipstick-P411320?icid2=products%20grid:p411320
ILIA Multi-Stick,https://www.sephora.com/product/multi-stick-P411848?icid2=products%20grid:p411848
Armani Beauty Lip Magnet Liquid Lipstick,https://www.sephora.com/product/lip-magnet-liquid-lipstick-P413933?icid2=products%20grid:p413933
NARS Velvet Matte Lipstick Pencil Duo,https://www.sephora.com/product/velvet-matte-lip-pencil-duo-P408115?icid2=products%20grid:p408115
Armani Beauty Rouge D'Armani Matte Lipstick,https://www.sephora.com/product/rouge-d-armani-matte-lipstick-P436062?icid2=products%20grid:p436062
Too Faced Melted Matte Liquid Lipstick,https://www.sephora.com/product/melted-matte-liquified-long-wear-matte-lipstick-P407636?icid2=products%20grid:p407636
Bite Beauty Power Move Creamy Matte Lip Crayon,https://www.sephora.com/product/bite-beauty-power-move-creamy-matte-lip-crayon-vegan-P454746?icid2=products%20grid:p454746
TOM FORD Lip Color Lipstick,https://www.sephora.com/product/lip-color-P416057?icid2=products%20grid:p416057
HUDA BEAUTY Power Bullet Matte Lipstick - Throwback Collection,https://www.sephora.com/product/power-bullet-matte-lipstick-P450511?icid2=products%20grid:p450511
KVD Vegan Beauty Kitten Mini Everlasting Liquid Lipstick,https://www.sephora.com/product/mini-everlasting-liquid-lipstick-P442953?icid2=products%20grid:p442953
Yves Saint Laurent Rouge Pur Couture Lipstick Collection,https://www.sephora.com/product/rouge-pur-couture-lipstick-collection-P400701?icid2=products%20grid:p400701
tarte SEA Color Splash Lipstick,https://www.sephora.com/product/sea-color-splash-lipstick-P416418?icid2=products%20grid:p416418
Anastasia Beverly Hills Liquid Lipstick,https://www.sephora.com/product/liquid-lipstick-P404831?icid2=products%20grid:p404831
Yves Saint Laurent Tatouage Couture Liquid Matte Lip Stain,https://www.sephora.com/product/tatouage-couture-matte-stain-P423327?icid2=products%20grid:p423327
Urban Decay Vice Lipstick,https://www.sephora.com/product/vice-lipstick-P409523?icid2=products%20grid:p409523
Yves Saint Laurent Vinyl Cream Lip Stain,https://www.sephora.com/product/rouge-pur-couture-vernis-l-vres-vinyl-cream-P410743?icid2=products%20grid:p410743
Charlotte Tilbury K.I.S.S.I.N.G Lipstick,https://www.sephora.com/product/k-i-s-s-i-n-g-lipstick-P433531?icid2=products%20grid:p433531
Yves Saint Laurent Rouge Pur Couture The Slim Matte Lipstick,https://www.sephora.com/product/rouge-pur-couture-matte-slim-lipstick-P436506?icid2=products%20grid:p436506
PAT McGRATH LABS Obsessive Opulence: MatteTrance™ Lipstick,https://www.sephora.com/product/obsessive-opulence-mattetrance-lipstick-P451132?icid2=products%20grid:p451132
